trip_id,arrival_time,departure_time,stop_id,stop_sequence
3652883_NW_Via Fermi_Via Della Quercia_3652882+0,06:48:00,06:48:00,2513732553,0
3652883_NW_Via Fermi_Via Della Quercia_3652882+0,06:49:00,06:49:00,2694161574,1
3652883_NW_Via Fermi_Via Della Quercia_3652882+0,06:50:00,06:50:00,2916221165,2
3652883_NW_Via Fermi_Via Della Quercia_3652882+0,06:54:00,06:54:00,2509490278,3
3652883_NW_Via Fermi_Via Della Quercia_3652882+0,06:55:00,06:55:00,2916221171,4
3652883_NW_Via Fermi_Via Della Quercia_3652882+0,06:57:00,06:57:00,2916221163,5
3652883_NW_Via Fermi_Via Della Quercia_3652882+0,06:58:00,06:58:00,2916221161,6
3652883_NW_Via Fermi_Via Della Quercia_3652882+0,07:00:00,07:00:00,2916259081,7
3652883_NW_Via Fermi_Via Della Quercia_3652882+0,07:01:00,07:01:00,2694161614,8
3652883_NW_Via Fermi_Via Della Quercia_3652882+1,07:48:00,07:48:00,2513732553,0
3652883_NW_Via Fermi_Via Della Quercia_3652882+1,07:49:00,07:49:00,2694161574,1
3652883_NW_Via Fermi_Via Della Quercia_3652882+1,07:50:00,07:50:00,2916221165,2
3652883_NW_Via Fermi_Via Della Quercia_3652882+1,07:54:00,07:54:00,2509490278,3
3652883_NW_Via Fermi_Via Della Quercia_3652882+1,07:55:00,07:55:00,2916221171,4
3652883_NW_Via Fermi_Via Della Quercia_3652882+1,07:57:00,07:57:00,2916221163,5
3652883_NW_Via Fermi_Via Della Quercia_3652882+1,07:58:00,07:58:00,2916221161,6
3652883_NW_Via Fermi_Via Della Quercia_3652882+1,08:00:00,08:00:00,2916259081,7
3652883_NW_Via Fermi_Via Della Quercia_3652882+1,08:01:00,08:01:00,2694161614,8
3652883_NW_Via Fermi_Via Della Quercia_3652882+10,16:48:00,16:48:00,2513732553,0
3652883_NW_Via Fermi_Via Della Quercia_3652882+10,16:49:00,16:49:00,2694161574,1
3652883_NW_Via Fermi_Via Della Quercia_3652882+10,16:50:00,16:50:00,2916221165,2
3652883_NW_Via Fermi_Via Della Quercia_3652882+10,16:54:00,16:54:00,2509490278,3
3652883_NW_Via Fermi_Via Della Quercia_3652882+10,16:55:00,16:55:00,2916221171,4
3652883_NW_Via Fermi_Via Della Quercia_3652882+10,16:57:00,16:57:00,2916221163,5
3652883_NW_Via Fermi_Via Della Quercia_3652882+10,16:58:00,16:58:00,2916221161,6
3652883_NW_Via Fermi_Via Della Quercia_3652882+10,17:00:00,17:00:00,2916259081,7
3652883_NW_Via Fermi_Via Della Quercia_3652882+10,17:01:00,17:01:00,2694161614,8
3652883_NW_Via Fermi_Via Della Quercia_3652882+11,17:48:00,17:48:00,2513732553,0
3652883_NW_Via Fermi_Via Della Quercia_3652882+11,17:49:00,17:49:00,2694161574,1
3652883_NW_Via Fermi_Via Della Quercia_3652882+11,17:50:00,17:50:00,2916221165,2
3652883_NW_Via Fermi_Via Della Quercia_3652882+11,17:54:00,17:54:00,2509490278,3
3652883_NW_Via Fermi_Via Della Quercia_3652882+11,17:55:00,17:55:00,2916221171,4
3652883_NW_Via Fermi_Via Della Quercia_3652882+11,17:57:00,17:57:00,2916221163,5
3652883_NW_Via Fermi_Via Della Quercia_3652882+11,17:58:00,17:58:00,2916221161,6
3652883_NW_Via Fermi_Via Della Quercia_3652882+11,18:00:00,18:00:00,2916259081,7
3652883_NW_Via Fermi_Via Della Quercia_3652882+11,18:01:00,18:01:00,2694161614,8
3652883_NW_Via Fermi_Via Della Quercia_3652882+12,18:48:00,18:48:00,2513732553,0
3652883_NW_Via Fermi_Via Della Quercia_3652882+12,18:49:00,18:49:00,2694161574,1
3652883_NW_Via Fermi_Via Della Quercia_3652882+12,18:50:00,18:50:00,2916221165,2
3652883_NW_Via Fermi_Via Della Quercia_3652882+12,18:54:00,18:54:00,2509490278,3
3652883_NW_Via Fermi_Via Della Quercia_3652882+12,18:55:00,18:55:00,2916221171,4
3652883_NW_Via Fermi_Via Della Quercia_3652882+12,18:57:00,18:57:00,2916221163,5
3652883_NW_Via Fermi_Via Della Quercia_3652882+12,18:58:00,18:58:00,2916221161,6
3652883_NW_Via Fermi_Via Della Quercia_3652882+12,19:00:00,19:00:00,2916259081,7
3652883_NW_Via Fermi_Via Della Quercia_3652882+12,19:01:00,19:01:00,2694161614,8
3652883_NW_Via Fermi_Via Della Quercia_3652882+13,19:48:00,19:48:00,2513732553,0
3652883_NW_Via Fermi_Via Della Quercia_3652882+13,19:49:00,19:49:00,2694161574,1
3652883_NW_Via Fermi_Via Della Quercia_3652882+13,19:50:00,19:50:00,2916221165,2
3652883_NW_Via Fermi_Via Della Quercia_3652882+13,19:54:00,19:54:00,2509490278,3
3652883_NW_Via Fermi_Via Della Quercia_3652882+13,19:55:00,19:55:00,2916221171,4
3652883_NW_Via Fermi_Via Della Quercia_3652882+13,19:57:00,19:57:00,2916221163,5
3652883_NW_Via Fermi_Via Della Quercia_3652882+13,19:58:00,19:58:00,2916221161,6
3652883_NW_Via Fermi_Via Della Quercia_3652882+13,20:00:00,20:00:00,2916259081,7
3652883_NW_Via Fermi_Via Della Quercia_3652882+13,20:01:00,20:01:00,2694161614,8
3652883_NW_Via Fermi_Via Della Quercia_3652882+14,20:48:00,20:48:00,2513732553,0
3652883_NW_Via Fermi_Via Della Quercia_3652882+14,20:49:00,20:49:00,2694161574,1
3652883_NW_Via Fermi_Via Della Quercia_3652882+14,20:50:00,20:50:00,2916221165,2
3652883_NW_Via Fermi_Via Della Quercia_3652882+14,20:54:00,20:54:00,2509490278,3
3652883_NW_Via Fermi_Via Della Quercia_3652882+14,20:55:00,20:55:00,2916221171,4
3652883_NW_Via Fermi_Via Della Quercia_3652882+14,20:57:00,20:57:00,2916221163,5
3652883_NW_Via Fermi_Via Della Quercia_3652882+14,20:58:00,20:58:00,2916221161,6
3652883_NW_Via Fermi_Via Della Quercia_3652882+14,21:00:00,21:00:00,2916259081,7
3652883_NW_Via Fermi_Via Della Quercia_3652882+14,21:01:00,21:01:00,2694161614,8
3652883_NW_Via Fermi_Via Della Quercia_3652882+15,21:48:00,21:48:00,2513732553,0
3652883_NW_Via Fermi_Via Della Quercia_3652882+15,21:49:00,21:49:00,2694161574,1
3652883_NW_Via Fermi_Via Della Quercia_3652882+15,21:50:00,21:50:00,2916221165,2
3652883_NW_Via Fermi_Via Della Quercia_3652882+15,21:54:00,21:54:00,2509490278,3
3652883_NW_Via Fermi_Via Della Quercia_3652882+15,21:55:00,21:55:00,2916221171,4
3652883_NW_Via Fermi_Via Della Quercia_3652882+15,21:57:00,21:57:00,2916221163,5
3652883_NW_Via Fermi_Via Della Quercia_3652882+15,21:58:00,21:58:00,2916221161,6
